Date,Open,High,Low,Close,Volume,Change
2022/1/3,36321.59,36595.82,36246.45,36585.06,436598443,3.470065253
2022/1/4,36636,36934.84,36636,36799.65,543039217,214.59
2022/1/5,36722.6,36952.65,36400.39,36407.11,539088106,-392.54
2022/1/6,36409.05,36464.19,36200.68,36236.47,449741445,-170.64
2022/1/7,36249.59,36382.84,36111.53,36231.66,406797595,-4.81
2022/1/10,36175.21,36175.21,35639.91,36068.87,488023456,-162.79
2022/1/11,36058.85,36271.47,35769.38,36252.02,421210623,183.15
2022/1/12,36336.16,36453.49,36168.15,36290.32,361798146,38.3
2022/1/13,36312.49,36513.88,36044.22,36113.62,395636110,-176.7
2022/1/14,35996.43,35996.43,35641.49,35911.81,439707231,-201.81
2022/1/18,35661.76,35661.76,35262.02,35368.47,490284707,-543.34
2022/1/19,35412.3,35547.83,35015.49,35028.65,443735245,-339.82
2022/1/20,35102.66,35490.2,34670.12,34715.39,429729331,-313.26
2022/1/21,34701.69,34896.67,34229.55,34265.37,593443286,-450.02
2022/1/24,34070.61,34420.99,33150.33,34364.5,768621756,99.13
2022/1/25,34186.64,34591.04,33545.52,34297.73,607002705,-66.77
2022/1/26,34520.82,34815.67,33876.48,34168.09,620827829,-129.64
2022/1/27,34261.75,34773.32,34007.78,34160.78,597909180,-7.31
2022/1/28,34135.24,34731.77,33807.51,34725.47,626107251,564.69
2022/1/31,34691.17,35148.14,34496.1,35131.86,541194328,406.39
2022/2/1,35151.47,35441.09,34977.95,35405.24,479954926,273.38
2022/2/2,35378.19,35679.2,35290.12,35629.33,427396514,224.09
2022/2/3,35520.08,35535.94,35071.06,35111.16,430259974,-518.17
2022/2/4,35095.74,35333.55,34799.08,35089.74,400793221,-21.42
2022/2/7,35108.38,35325.01,34993.98,35091.13,394775875,1.39
2022/2/8,35160.68,35544.89,35090.42,35462.78,432972715,371.65
2022/2/9,35614.9,35824.28,35614.9,35768.06,421274330,305.28
2022/2/10,35630.81,35800.24,35100.72,35241.59,478651056,-526.47
2022/2/11,35267.89,35431.15,34620.52,34738.06,477808044,-503.53
2022/2/14,34694.5,34744.56,34304.28,34566.17,445148572,-171.89
